Date,Open,High,Low,Close,Adj Close,Volume,percent_change
2020-01-02,84.900002,86.139999,84.342003,86.052002,86.052002,47660500,0.0135689042739952
2020-01-03,88.099998,90.800003,87.384003,88.601997,88.601997,88892500,0.005698059153190876
2020-01-06,88.094002,90.311996,88.0,90.307999,90.307999,50665000,0.02513221047671318
2020-01-07,92.279999,94.32599599999999,90.67199699999999,93.811996,93.811996,89410500,0.016601614830966675
2020-01-08,94.739998,99.697998,93.646004,98.428001,98.428001,155721500,0.03892762378990123
2020-01-09,99.41999799999999,99.760002,94.57399699999999,96.26799799999999,96.26799799999999,142202000,-0.031703883156384706
2020-01-10,96.358002,96.987999,94.739998,95.629997,95.629997,64797500,-0.0075552106196639076
2020-01-13,98.699997,105.125999,98.400002,104.972,104.972,132588000,0.06354613161741027
2020-01-14,108.851997,109.48200200000001,104.980003,107.584,107.584,144981000,-0.011648817063043814
2020-01-15,105.952003,107.568001,103.358002,103.699997,103.699997,86844000,-0.021254963910403928
2020-01-16,98.75,102.891998,98.433998,102.697998,102.697998,108683500,0.03997972658227846
2020-01-17,101.522003,103.134003,100.63200400000001,102.099998,102.099998,68145500,0.005693297836135102
2020-01-21,106.050003,109.716003,105.681999,109.440002,109.440002,89017500,0.03196604341444482
2020-01-22,114.377998,118.900002,111.82,113.912003,113.912003,156845000,-0.0040741664319042074
2020-01-23,112.849998,116.400002,111.120003,114.440002,114.440002,98255000,0.014089535030386156
2020-01-24,114.125999,114.772003,110.851997,112.96399699999999,112.96399699999999,71768000,-0.010181746579935752
2020-01-27,108.398003,112.888,107.856003,111.603996,111.603996,68040500,0.029576126047266685
2020-01-28,113.697998,115.362,111.615997,113.379997,113.379997,58942500,-0.002796891815104742
2020-01-29,115.138,117.959999,113.486,116.197998,116.197998,89007500,0.009206326321457669
2020-01-30,126.484001,130.175995,123.599998,128.162003,128.162003,145028500,0.013266515818075617
2020-01-31,128.0,130.600006,126.503998,130.113998,130.113998,78596500,0.016515609375000073
2020-02-03,134.738007,157.227997,134.703995,156.0,156.0,235325000,0.15780248998339413
2020-02-04,176.591995,193.798004,166.776001,177.412003,177.412003,304694000,0.004643517391600913
2020-02-05,164.651993,169.195999,140.82200600000002,146.940002,146.940002,242119000,-0.10757228429054005
2020-02-06,139.983994,159.166,137.399994,149.792007,149.792007,199404000,0.07006524617378768
2020-02-07,146.110001,153.949997,146.0,149.613998,149.613998,85317500,0.023981910724920178
2020-02-10,160.0,163.998001,150.479996,154.255997,154.255997,123446000,-0.03590001874999995
2020-02-11,153.757996,156.701996,151.600006,154.87600700000002,154.87600700000002,58487500,0.007271238108488512
2020-02-12,155.574005,157.949997,152.673996,153.457993,153.457993,60112500,-0.013601321120453331
2020-02-13,148.367996,163.600006,147.0,160.800003,160.800003,131446500,0.08379170262567945
2020-02-14,157.444,162.59399399999998,157.100006,160.005997,160.005997,78468500,0.01627243337313597
2020-02-18,168.320007,172.0,166.472,171.679993,171.679993,81908500,0.019961893181242512
2020-02-19,184.699997,188.955994,180.203995,183.483994,183.483994,127115000,-0.006583665510292351
2020-02-20,182.389999,182.399994,171.988007,179.882004,179.882004,88174500,-0.013750726540658592
2020-02-21,181.395996,182.612,176.08999599999999,180.199997,180.199997,71574000,-0.006593304297631798
2020-02-24,167.800003,172.699997,164.440002,166.757996,166.757996,75961000,-0.006209815145235798
2020-02-25,169.800003,171.320007,157.399994,159.98199499999998,159.98199499999998,86452500,-0.05782101193484679
2020-02-26,156.5,162.662003,155.222,155.759995,155.759995,70427500,-0.004728466453674099
2020-02-27,146.0,147.953995,133.800003,135.800003,135.800003,121386000,-0.06986299315068491
2020-02-28,125.940002,138.104004,122.304001,133.598007,133.598007,121114500,0.06080677210089284
2020-03-02,142.251999,148.738007,137.334,148.723999,148.723999,100975000,0.0454967244432184
2020-03-03,161.0,161.395996,143.222,149.102005,149.102005,128920000,-0.07390059006211186
2020-03-04,152.792007,153.304001,144.945999,149.899994,149.899994,75245000,-0.018927776765181308
2020-03-05,144.753998,149.149994,143.613998,144.908005,144.908005,54263500,0.0010639222551905414
2020-03-06,138.0,141.399994,136.854004,140.695999,140.695999,63314500,0.019536224637681163
2020-03-09,121.07800300000001,132.600006,121.0,121.599998,121.599998,85368500,0.004311229018205642
2020-03-10,131.886002,133.600006,121.599998,129.065994,129.065994,77972000,-0.021382163059276007
2020-03-11,128.03999299999998,130.716003,122.599998,126.846001,126.846001,66612500,-0.009325148900937384
2020-03-12,116.178001,118.900002,109.25,112.110001,112.110001,94545500,-0.03501523494107975
2020-03-13,119.0,121.514,100.400002,109.32399699999999,109.32399699999999,113201500,-0.08131094957983201
2020-03-16,93.900002,98.97399899999999,88.433998,89.014,89.014,102447500,-0.05203409899820881
2020-03-17,88.001999,94.370003,79.199997,86.040001,86.040001,119973000,-0.02229492536868389
2020-03-18,77.800003,80.972,70.101997,72.244003,72.244003,118931000,-0.0714138789943234
2020-03-19,74.940002,90.400002,71.692001,85.528,85.528,150977500,0.1412863319646028
2020-03-20,87.639999,95.400002,85.157997,85.505997,85.505997,141427500,-0.02434963514775952
2020-03-23,86.720001,88.400002,82.099998,86.858002,86.858002,82272500,0.0015913399262991556
2020-03-24,95.459999,102.737999,94.800003,101.0,101.0,114476000,0.058034790048552214
2020-03-25,109.050003,111.400002,102.222,107.849998,107.849998,106113500,-0.011004172095254361
2020-03-26,109.477997,112.0,102.449997,105.63200400000001,105.63200400000001,86903500,-0.03513028284578492
2020-03-27,101.0,105.160004,98.806,102.872002,102.872002,71887000,0.018534673267326683
2020-03-30,102.052002,103.33000200000001,98.246002,100.42600300000001,100.42600300000001,59990500,-0.015933043626130853
2020-03-31,100.25,108.592003,99.400002,104.800003,104.800003,88857500,0.04538656359102248
2020-04-01,100.800003,102.790001,95.019997,96.311996,96.311996,66766000,-0.044523877643138664
2020-04-02,96.206001,98.851997,89.279999,90.893997,90.893997,99292000,-0.05521489246809044
2020-04-03,101.900002,103.098,93.678001,96.001999,96.001999,112810500,-0.05788030308380173
2020-04-06,102.239998,104.199997,99.592003,103.248001,103.248001,74509000,0.009859184465164038
2020-04-07,109.0,113.0,106.468002,109.089996,109.089996,89599000,0.0008256513761467825
2020-04-08,110.839996,111.442001,106.666,109.76799799999999,109.76799799999999,63280000,-0.009671581005831214
2020-04-09,112.417999,115.03600300000001,111.42199699999999,114.599998,114.599998,68250000,0.019409694349745585
2020-04-13,118.031998,130.399994,116.106003,130.190002,130.190002,112377000,0.1030060001187135
2020-04-14,139.794006,148.37600700000002,138.48599199999998,141.977997,141.977997,152882500,0.01562292306009166
2020-04-15,148.399994,150.62600700000002,142.0,145.966003,145.966003,117885000,-0.01640155726690927
2020-04-16,143.388,151.889999,141.34399399999998,149.042007,149.042007,103289500,0.03943152146623153
2020-04-17,154.455994,154.990005,149.531998,150.778,150.778,65641000,-0.023812568905548673
2020-04-20,146.53999299999998,153.113998,142.442001,149.272003,149.272003,73733000,0.01864344295417041
2020-04-21,146.024002,150.666,134.757996,137.34399399999998,137.34399399999998,101045500,-0.05944233743162316
2020-04-22,140.796005,146.800003,137.742004,146.421997,146.421997,70827500,0.039958463310091764
2020-04-23,145.520004,146.800003,140.62600700000002,141.12600700000002,141.12600700000002,66183500,-0.030195140731304436
2020-04-24,142.162003,146.145996,139.636002,145.029999,145.029999,66060000,0.02017413893640768
